,player_name,fantasy_pts
358,Ethan Fernea,0.0
359,Josh Ali,0.0
360,Stanley Berryhill,0.0
361,Dennis Houston,0.0
362,Kyric McGowan,0.0
363,Tay Martin,4.3
364,Kwamie Lassiter II,0.0
365,Braylon Sanders,0.0
366,Maurice Alexander,0.0
367,Grant DuBose,0.0
368,Antoine Green,0.0
369,A.T. Perry,0.0
370,Colton Dowell,0.0
371,Joseph Ngata,0.0
372,Rakim Jarrett,0.0
373,Elijah Cooks,0.0
374,Kearis Jackson,0.0
375,Chris Blair,0.0
376,Terrell Bynum,0.0
377,Tejhaun Palmer,0.0
378,Ramel Keyton,0.0
379,Kaden Davis,0.0
380,Jaylen Johnson,0.0
381,Brennan Presley,0.0
382,Jakobie Keeney-James,3.5
383,Jacoby Jones,3.5
384,Dalevon Campbell,0.0
385,Coleman Owen,0.0
386,Jeshaun Jones,0.0
387,Quentin Skinner,4.0
388,Jimmy Holiday,0.0
