target,feature,gain
receiving_yards,Past-1-delta_career_average_receptions_gtg,34768.06640625
receiving_yards,Past-2-delta_season_first_down_pass,34549.19921875
receiving_yards,Past-1-delta_career_fumble,34380.61328125
receiving_yards,Past-1-season_average_interception,33787.6875
receiving_yards,Past-2-delta_career_qb_dropback,32793.328125
receiving_yards,Past-2-season_average_fumble,31134.63671875
receiving_yards,Past-1-shotgun,30714.03515625
receiving_yards,Past-1-season_td_pct,29519.796875
receiving_yards,Past-1-delta_season_yptouch,28478.015625
receiving_yards,Past-2-career_ypr,28407.6328125
receiving_yards,Past-2-adot,27188.927734375
receiving_yards,Past-1-career_average_receiving_air_yards,26370.91796875
receiving_yards,Past-2-delta_team_offense_snaps,25631.71875
receiving_yards,Past-2-career_average_fourth_down_converted,24222.234375
receiving_yards,Past-2-draft_year,23687.248046875
receiving_yards,Past-1-delta_team_offense_snaps,23263.28125
receiving_yards,Past-1-career_average_offense_snaps,22310.50390625
receptions,Past-1-season_receiving_yards,22037.1015625
receiving_yards,Past-1-team_rush_attempts_share,20924.1953125
receptions,Past-1-receiving_yards,20326.025390625
receiving_yards,Past-1-career_average_standard_ppg,20281.978515625
receiving_yards,Past-2-career_total_yards,20187.046875
receptions,Past-1-season_total_yards,19533.841796875
receptions,Past-1-career_average_receiving_yards,16647.78125
receptions,Past-1-third_down_converted,16600.13671875
receiving_yards,Past-1-team_offense_snaps,14688.34375
receptions,Past-1-career_touches,14431.6572265625
receiving_yards,Past-1-receptions_redzone,12724.556640625
receptions,Past-1-season_receptions,12620.66015625
rushing_yards,Past-1-qb_scramble,12506.759765625
receiving_yards,Past-1-qb_dropback,10276.4931640625
receiving_yards,Past-2-career_average_no_huddle,9642.0625
receptions,Past-1-career_average_receiving_air_yards,9127.98828125
receptions,Past-2-season_average_qb_dropback,9002.9521484375
receiving_yards,Past-1-receiving_touchdown_redzone,8821.923828125
receptions,Past-1-career_average_shotgun,8342.9453125
receptions,Past-1-career_average_targets_redzone,8155.875
receptions,Past-2-season_average_receiving_air_yards,7679.1328125
receptions,Past-1-receptions,7445.251953125
receptions,Past-1-season_average_yards_after_catch,7375.1376953125
receptions,Past-1-season_touches,6049.439453125
receptions,Past-1-career_average_fantasy_points_ppr,5986.9462890625
receptions,Past-1-targets,5687.0517578125
receiving_yards,Past-1-draft_year,5557.4736328125
receptions,Past-2-season_average_yards_after_catch,5233.2841796875
receptions,Past-1-delta_career_no_huddle,5192.2802734375
receptions,Past-2-career_average_no_huddle,5141.86328125
receptions,Past-1-career_total_yards,5055.564453125
receptions,Past-1-delta_season_third_down_failed,4608.18310546875
receptions,Past-2-career_average_rush_attempts_gtg,4521.947265625
receptions,Past-2-season_targets_redzone,4475.033203125
receptions,Past-2-delta_season_receiving_touchdown,4203.15966796875
receptions,Past-2-delta_touches,4147.556640625
receptions,Past-2-delta_season_average_receptions_gtg,4087.8759765625
receptions,Past-1-fumble_forced,4084.77734375
receptions,Past-1-career_average_fumble,4026.30078125
receptions,Past-2-delta_career_touches,3925.67138671875
receptions,Past-2-career_rush_attempts_gtg,3893.271484375
receptions,Past-2-delta_career_receiving_touchdown_redzone,3883.208740234375
receptions,Past-1-career_average_no_huddle,3882.42578125
receptions,Past-2-delta_career_receiving_touchdown,3881.66748046875
receptions,Past-1-no_huddle,3833.514404296875
receptions,Past-2-career_pass_attempts,3753.65966796875
receptions,Past-1-season_third_down_failed,3737.9853515625
receptions,Past-2-career_average_targets_redzone,3628.67236328125
receptions,Past-1-career_receiving_touchdown_redzone,3537.28271484375
receptions,Past-1-season_shotgun,3534.40869140625
receptions,Past-1-delta_season_average_first_down_pass,3433.20947265625
receiving_yards,Past-1-rush_attempts,3407.7109375
receiving_yards,Past-1-fourth_down_failed,3405.2890625
receptions,Past-1-delta_career_ypg,3395.6015625
receptions,Past-1-career_average_first_down_pass,3237.33984375
receptions,Past-2-career_average_first_down_pass,3196.066162109375
receptions,Past-2-delta_season_receiving_air_yards,3141.748046875
receptions,Past-1-career_rush_ypg,2950.041015625
receptions,Past-2-delta_career_average_interception,2885.5888671875
receptions,Past-1-receiving_air_yards,2850.193603515625
receiving_yards,Past-2-season_average_no_huddle,2829.015625
receptions,Past-1-career_average_rushing_yards,2791.354736328125
receptions,Past-1-career_average_receptions,2776.670166015625
receptions,Past-2-season_no_huddle,2766.85498046875
receptions,Past-1-season_fantasy_points_standard,2622.79296875
receptions,Past-2-third_down_failed,2591.8173828125
receptions,Past-1-delta_career_average_fantasy_points_standard,2590.678955078125
receptions,Past-1-season_average_fantasy_points_ppr,2569.0712890625
receptions,Past-1-career_ypr,2494.004638671875
